titulo,descricao,ano_lancamento,duracao,avaliacao,votos
50. Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1942,1h 42m,8.5,614K
51. American History X,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1998,1h 59m,8.5,1.2M
52. The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1995,1h 46m,8.5,1.2M
53. Psycho,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,1960,1h 49m,8.5,730K
54. The Pianist,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2002,2h 30m,8.5,931K
55. Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,1988,1h 28m,8.5,320K
56. Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1968,2h 46m,8.5,354K
57. The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,1h 52m,8.5,945K
58. Rear Window,"A house and wheelchair-bound photographer, his fashion model girlfriend and his visiting Nurse spy on neighbors from his courtyard window. Despite skepticism by his PD Detective friend, they're convinced one of his neighbors is a murderer.",1954,1h 52m,8.5,530K
59. Cinema Paradiso,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",1988,2h 54m,8.5,288K
60. City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,1h 27m,8.5,199K
61. Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,1h 27m,8.5,263K
62. Sita Ramam,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",2022,2h 43m,8.5,71K
63. 96,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,2018,2h 38m,8.5,38K
64. Joker,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City.",2019,2h 2m,8.4,1.5M
